Symbol,Name,Quantity,Avg. Price,Cost Basis,Unrealized Gain ($),Unrealized Gain (%),Value
SCHB,Schwab U.S. Broad Market ETF,729.34837,21.59,"15,745.85","3,691.28",23.44,"19,437.13"
SPSM,SPDR Portfolio S&P 600 Small Cap ETF,133.66866,42.41,"5,668.23",943.02,16.64,"6,611.25"
VXF,Vanguard Extended Market ETF,30.02231,166.54,"4,999.78","1,426.80",28.54,"6,426.58"
GOOGL,Alphabet,7.37965,140.63,"1,037.80","1,456.52",140.35,"2,494.32"
AMZN,Amazon,9.45693,138.45,"1,309.27",953.77,72.85,"2,263.04"
META,Meta Platforms Inc.,2.73365,201.59,551.07,"1,407.59",255.43,"1,958.66"
QQQ,Invesco QQQ Trust,2.20923,422.14,932.60,441.25,47.31,"1,373.85"
PYPL,PayPal Holdings Inc.,23.79439,69.47,"1,653.03",-399.30,-24.16,"1,253.73"
CRM,Salesforce Inc.,3.90866,238.88,933.70,-103.93,-11.13,829.77
ADBE,Adobe Inc.,2.81919,346.98,978.21,-151.48,-15.49,826.73
FDN,First Trust Dow Jones Internet Index Fund,2.6241,189.44,497.10,186.82,37.58,683.92
MA,Mastercard Incorporated,1.02575,540.32,554.23,-1.57,-0.28,552.66
TXRH,Texas Roadhouse Inc.,2.81702,165.72,466.85,39.82,8.53,506.67
PNQI,Invesco NASDAQ Internet ETF,4.37672,45.68,199.92,24.69,12.35,224.61
VXUS,Vanguard Total International Stock ETF,0.66183,76.06,50.34,2.38,4.73,52.72
WBD,Warner Bros. Discovery Inc.,0.21318,27.02,5.76,0.11,1.91,5.87
